nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire
association des haltes-garderies communautaires du québec,"6415, rue des Écores, 1er étage Rosemont—La Petite-Patrie Montréal QC H2G 2J6","Regroupement, promotion et défense des intérêts des services de halte-garderie communautaires au Québec.",1 888 598-1917,info@ahgcq.org,ahgcq.org,le Québec,"enfants, parents, organismes et services de garde à l'enfance",provincial
réseau québécois d'action pour la santé des femmes,"6415, rue des Écores, 1er étage Rosemont—La Petite-Patrie Montréal QC H2G 2J6","Réseau multidisciplinaire. Promotion et défense des droits et intérêts des femmes. Mobilisation et représentation. Production et diffusion d'information en santé. Ateliers de formation, conférences, c...",514 877-3189,rqasf@rqasf.qc.ca,www.rqasf.qc.ca,le Québec,"femmes, organisations de femmes",provincial
espace pour la vie - planétarium,"4801, avenue Pierre-De Coubertin Mercier—Hochelaga-Maisonneuve Montréal QC H1V 3V4","Musée consacré à l'astronomie. Spectacles, expositions, animations. Espace jeunesse.",1 855 518-4506,espacepourlavie@ville.montreal.qc.ca,espacepourlavie.ca/planetarium,le Québec,,provincial
revdec,"2660, avenue Letourneux Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2P4","Accompagnement scolaire. Activités éducatives, culturelles et sportives. Suivi psychosocial individualisé. Soutien personnalisé pour l'orientation scolaire.",514 259-0634,admin@revdec.org,www.revdec.org,île de Montréal,"adolescent·e·s à risque ou en situation de décrochage scolaire, toujours en obligation de fréquentation scolaire",montreal
mûrier (le),"2615, boulevard Pie-IX Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2E8","Logements supervisés: appartements, studios et foyers de groupe. Stage d'expérimentation au travail dans une cuisine de production. Atelier d'apprentissages culinaires à domicile.",514 254-6110,info@lemurier.org,lemurier.org,île de Montréal,hommes et femmes adultes vivant avec un trouble de santé mentale,montreal
association de la neurofibromatose du québec (l'),Montréal QC,Activités de sensibilisation à la neurofibromatose. Activités familiales. Soutien aux personnes atteintes et à leur famille par téléphone ou courriel. Accès à de la documentation médicale. Accès à des...,514 385-6702,anfq@anfq.org,anfq.ca,le Québec,"personnes vivant avec la neurofibromatose, NF1, NF2 et schwannomatose, leurs familles et proches",provincial
fondation j.f perrault pour le développement de la musique symphonique et de l'art vocal,"7450, rue François-Perrault Villeray—Saint-Michel—Parc-Extension Montréal QC H2A 1L9",Soutien à l'éducation musicale. Formulaire en ligne pour faire un don d'instrument: www.fondationjfp.com/donner-un-instrument,,info@fondationjfp.com,www.fondationjfp.com,Montréal,,montreal
regroupement des maisons des jeunes du québec,"6502, rue des Écores Rosemont—La Petite-Patrie Montréal QC H2G 2J7",Promotion du concept «maison des jeunes». Défense de l'autonomie et l'action des maisons des jeunes. Soutien au développement des maisons des jeunes. Lieu d'échanges et rencontres entre les maisons de...,514 725-2686,info@rmjq.org,rmjq.org,le Québec,maisons des jeunes,provincial
bibliothèque et archives nationales du québec - dépôt légal,"2275, rue Holt Rosemont—La Petite-Patrie Montréal QC H2G 3H1","Gestionnaire du dépôt légal, conformément à la Loi sur Bibliothèques et Archives nationales du Québec qui impose aux éditeur·rice·s le dépôt, gratuit et généralement en deux exemplaires, de tou",1 800 363-9028,depot@banq.qc.ca,www.banq.qc.ca/notre-institution/bibliotheque-nationale/depot-legal-des-publications-analogiques,le Québec,éditeur·rice·s,provincial
bibliothèque et archives nationales du québec - bibliothèque nationale,"2275, rue Holt Rosemont—La Petite-Patrie Montréal QC H2G 3H1","Siège social de Bibliothèque et Archives nationales du Québec. Services techniques (incluant les services du dépôt légal, de l'ISBN et du CIP). Collections spéciales en salle de cons",1 800 363-9028,collectionspeciale@banq.qc.ca,www.banq.qc.ca/notre-institution/rosemont/bibliotheque-nationale-site-rosemont,le Québec,,provincial
phare providence (le),"5605, rue Beaubien Rosemont—La Petite-Patrie Montréal QC H1T 1X4",Regroupement de résidences pour personnes aînées appartenant aux Soeurs de la Providence.,514 254-4991,location@providencendg.com,,île de Montréal,personnes de 55 ans et plus,montreal
centre haïtien d'action familiale,"2573, rue Bélanger Est Villeray—Saint-Michel—Parc-Extension Montréal QC H1Y 1A3",Information et référence. Programme Y'a personne de parfait et groupe de soutien mensuel ouvert visant les nouveaux parents immigrants. Soutien pour personnes demandeuses d'asile: accompagnement dans ...,514 729-8834,chafquebec@yahoo.ca,,Grand Montréal,familles haïtiennes en difficulté,grand_montreal
déclic - initiatives pour la formation et l'emploi des jeunes,"6250, rue des Écores Rosemont—La Petite-Patrie Montréal QC H2G 2J5",Services socio-psycho-pédagogiques pour jeunes adultes en difficultés qui souhaitent effectuer un retour à l'école et avoir accès à un diplôme qualifiant. Programme de préscolarisation: stabi,514 277-5559,info@declic.ca,www.declic.ca,Grand Montréal,jeunes adultes de 16 à 24 ans ayant des difficultés d'adaptation et d'apprentissage et nécessitant un soutien psychosocial,grand_montreal
ymca du québec (les) - centre desjardins - service de supervision des droits d'accès,"2564, avenue Desjardins Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2H7",Supervision des droits d'accès. Visites supervisées d'une durée maximale de 2 heures. Échange de garde. Appels supervisés.,514 252-7442,centredesjardins@ymcaquebec.org,www.ymcaquebec.org,île de Montréal,parents,montreal
société généalogique canadienne-française,"3440, rue Davidson Rosemont—La Petite-Patrie Montréal QC H1W 2Z5","Bibliothèque la Maison de la Généalogie: conservation de documents généalogiques, accès à des bases de données généalogiques, bénévoles sur place pour aider dans les recherches. Promotion et développe...",514 527-1010,info@sgcf.com,sgcf.com,le Québec,grand public,provincial
loisirs communautaires saint-michel,"7501, rue François-Perrault Villeray—Saint-Michel—Parc-Extension Montréal QC H2A 1M1","Activités sportives, culturelles, de plein air et communautaires. Cours d'anglais. Cours de musique, peinture, dessin et danse. Camp de jour. Le Spot: maison des jeunes. La Station: studio d'enregistr...",514 729-8467,lcsm@lcsm.qc.ca,lcsm.qc.ca,Grand Montréal,grand public,grand_montreal
maison l'exode (la) - pavillon andré-dumont,"2590, avenue Letourneux Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2P4",Programme de réinsertion sociale avec hébergement d'une durée de 3 à 12 mois. Thérapie. Repas. Auberge de Bruxelles: logements de transition d'une durée de 5 ans pour les personnes ayant effectué le p...,514 255-7727,info@maison-exode.org,maison-exode.org,le Québec,"hommes et femmes de 18 ans et plus vivant avec des problèmes de toxicomanie, d'alcoolisme ou de jeu pathologique ayant complété un programme de thérapie interne dans les 6 mois précédant leur demande d'admission",provincial
insertech angus,"4820, rue Molson Rosemont—La Petite-Patrie Montréal QC H1Y 3J8",Entreprise d'insertion en réemploi de matériel informatique. Vente d'ordinateurs et de cellulaires reconditionnés abordables sur place et en ligne. Cours d'informatique. Récupération d'ordinateurs et ...,514 596-2842,insertech@insertech.ca,www.insertech.ca,le Québec,"insertion professionnelle: jeunes de 16 à 35 ans éloignés du marché du travail, vente d'ordinateurs reconditionnés, services de réparation et cours d'informatique: grand public et organismes à but non lucratif",provincial
comité des usagers de l'hôpital maisonneuve-rosemont,"5689 boulevard Rosemont, bureau C58 Rosemont—La Petite-Patrie Montréal QC H1T 2H1",Comité des personnes usagères. Renseignements sur les droits et les obligations. Défense des droits et intérêts. Accompagnement dans les démarches pour porter plainte.,514 252-3925,cusagers.hmr@ssss.gouv.qc.ca,ciusss-estmtl.gouv.qc.ca/propos/comite-des-usagers-et-des-residents,île de Montréal,personnes usagères de l'Hôpital Maisonneuve-Rosemont,montreal
collectif des entreprises d'insertion du québec,"4100, rue André-Laurendeau, bureau 200 Rosemont—La Petite-Patrie Montréal QC H1Y 3N6",Regroupement d'entreprises d'insertion. Information. Promotion et représentation. Réseautage. Soutien à la formation et à la commercialisation. Mutuelle de formation.,514 270-4905,ceiq@collectif.qc.ca,collectif.qc.ca,le Québec,"entreprises d'insertion, personnes en situation de vulnérabilité",provincial
projet intégration montréal,"4100, rue André-Laurendeau, bureau 200 Rosemont—La Petite-Patrie Montréal QC H1Y 3N6",Formation rémunérée en entreprise d'insertion. Formation complémentaire en francisation disponible. Possibilité d'entrée progressive avec ateliers préparatoires.,514 270-4905 poste 230,integration2@collectif.qc.ca,collectif.qc.ca,île de Montréal,personnes de 16 à 35 ans membre d'une minorité visible,montreal
réseau des services spécialisés de main-d'oeuvre,"4100, rue André-Laurendeau, bureau 220 Rosemont—La Petite-Patrie Montréal QC H1Y 3N6",Regroupement d'organismes offrant des services spécialisés en employabilité pour personnes sous-représentées sur le marché du travail. Projet FIT (Formation Intégration Travail) : accompagnement pour ...,514 904-1544,info@rssmo.qc.ca,rssmo.qc.ca,le Québec,"organismes d'employabilité, personnes ayant des difficultés d'insertion socioprofessionnelle, entreprises",provincial
groupe part (programme d'apprentissage retour au travail),"4100, avenue André-Laurendeau Rosemont—La Petite-Patrie Montréal QC H1Y 3N6",Réinsertion en emploi. PART du Chef: entreprise d'insertion socioprofessionnelle offrant à ses travailleur·euse·s en formation la possibilité d'expérimenter différents emplois reliés à la cuisine,514 526-7278,mthomas@groupepart.ca,www.groupepart.ca,Grand Montréal,"personnes de 18 ans et plus avec des problèmes de santé mentale ou psychosociaux, bénéficiant d'un suivi médical ou psychosocial, repas congelés, cafétéria et traiteur: population générale",grand_montreal
service d'entretien pro-prêt,"5500, rue Fullum, bureau 300 Rosemont—La Petite-Patrie Montréal QC H2G 2H3","Entreprise d'insertion socioprofessionnelle. Programmes d'insertion: préposé en entretien ménager commercial et initiation en entretien ménager. Services aux entreprises: entretien ménager, réparation...",514 279-3627,info@propret.org,propret.org,Grand Montréal,personne de 16 ans et plus,grand_montreal
atelier majuscule,"5500, rue Fullum, bureau 318 Rosemont—La Petite-Patrie Montréal QC H2G 2H3","Entreprise d'insertion offrant des services d'impression numérique pour les entreprises, les organismes, les institutions et les particulier·ère·s afin de soutenir les personnes vivant des situations ...",514 277-7535,recrutement@ateliermajuscule.ca,www.ateliermajuscule.ca,île de Montréal,"personnes de 18 ans et plus sans revenus, bénéficiaires de l'aide sociale, peu scolarisées, peu expérimentées sur le plan professionnel ou qui éprouvent de la difficulté à se trouver un emploi ou à le conserver et qui souhaitent s'intégrer au marché du travail",montreal
cité des retraités n.d.f. inc,"6555, rue de Pontoise Rosemont—La Petite-Patrie Montréal QC H1T 3S9","Résidence privée autonome pour personnes aînées. Studios, 3½ et 4½. Logements adaptés pour personnes à mobilité réduite. Service de surveillance 24 heures, 7 jours. Chauffage, électricité et climatisa...",514 254-3551,reception@citedesretraites.ca,citedesretraites.com,île de Montréal,personnes aînées autonomes de 55 ans et plus,montreal
entraide saint-michel,"7701, avenue Léonard De Vinci, local 111 Villeray—Saint-Michel—Parc-Extension Montréal QC H2A 0A1","Activités de réinsertion sociale et socioprofessionnelle. Accueil et intégration. Programme PAAS Action. Soutien, entraide et croissance personnelle. Activités récréatives, éducatives et pratiques. Su...",514 593-7344,info@entraidesaintmichel.org,entraidesaintmichel.org,Grand Montréal,personnes de 18 ans et plus avec des problèmes de santé mentale et autonomes,grand_montreal
chsld polonais marie-curie-sklodowska,"5655, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1T 1G2",Centre d'hébergement public pour personnes aînées et personnes en perte d'autonomie. Hébergement et soins de longue durée.,514 259-2551,,ciusss-estmtl.gouv.qc.ca/etablissement/chsld-polonais-marie-curie-sklodowska,île de Montréal,"personnes aînées, personnes en perte d'autonomie, personnes d'origine polonaise ou slave",montreal
comité des usagers du chsld polonais marie-curie-sklodowska,"5655, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1T 1G2",Comité des personnes usagères. Renseignements sur les droits et obligations. Amélioration de la qualité des conditions de vis des personnes usagères. Évaluation du degré de satisfaction des ser,514 259-2551 poste 79221,comiteusagers.mcsklodowska@gmail.ca,ciusss-estmtl.gouv.qc.ca/propos/comite-des-usagers-et-des-residents,île de Montréal,personnes usagères du CHSLD Polonais Marie-Curie-Sklodowska,montreal
